"Pt_dBm,Bandwidth_MHz,Distance_km,PathLoss_dB,Noise_dBm,BER,Throughput_bps,QoS"
"18.745401188473625,8.736408184666985,2.4599966219799407,96.38144568372174,-92.01087958795584,6.202295195162007e-26,4368204.092333493,1"
"24.50714306409916,8.329120962314033,1.3690239911974231,94.59292453534194,-94.05182224837942,4.176780989544471e-219,4164560.4811570165,1"
"22.31993941811405,6.761539125028601,1.6932793887397724,99.64498524863941,-93.73640775027783,2.899073306808309e-40,3380769.5625143005,1"
"20.986584841970366,11.07266670101488,2.3265612737156367,92.18978450984238,-93.19328871819079,7.1025754419195285e-140,5536333.35050744,1"
"16.560186404424364,9.76624160508629,1.9641786890489599,95.87856415998941,-92.96346665635052,3.2149217334499607e-22,4883120.802543145,1"
"16.559945203362027,13.657009923240036,2.4771420772697876,97.00210014990222,-92.57738190789456,3.0557911806386253e-16,6828504.961617744,1"
"15.580836121681994,5.321095804820582,2.9224158024457196,98.25564489345382,-92.44539971036505,3.6441500464637326e-10,2660546.932866761,1"
"23.66176145774935,11.438679275551262,1.233093375430395,94.06971030428006,-90.44283654512463,5.465183723954451e-90,5719339.637775631,1"
"21.011150117432088,12.629488785115612,2.419135432796122,96.86921907657481,-89.90426809173958,3.4841176704938856e-24,6314744.392557806,1"
"22.080725777960453,12.59486569188307,1.460688311264229,93.03201471384283,-91.91120791873644,8.066474631938162e-111,6297432.845941535,1"
"15.205844942958024,13.860739670955251,1.8289534548151385,94.3547609236182,-85.92703580079272,6.370256477864923e-06,6886361.782082845,1"
"24.699098521619945,12.29033742829494,1.0657254515902796,98.95627131203399,-89.46860276661046,4.9959470349953835e-31,6145168.71414747,1"
"23.324426408004218,14.278100616476962,1.2718147645853979,99.49907609330954,-87.12523071966594,8.567715404171298e-13,7139050.302122035,1"
"17.123391106782762,8.326565998208915,1.6395545780977994,97.18817346927264,-85.75762167579157,5.860890333324637e-05,3926283.5803258643,1"
"16.818249672071005,10.032094167515432,1.68397161057597,93.74351890776185,-93.36864885424195,1.5114142924125933e-40,5016047.083757716,1"
"16.83404509853434,5.1407966328289065,2.7991704329241918,98.20057789974663,-90.72125516284365,2.1563472184808546e-09,2570392.77374918,1"
"18.042422429595376,5.069575873032912,2.48362581853303,90.2586708172542,-90.6678959828539,3.6744434571773627e-63,2534787.936516456,1"
"20.24756431632238,7.401266204515199,2.944365936374082,91.02745910539421,-91.45527749561646,6.190149193971687e-104,3700633.1022575996,1"
"19.319450186421157,6.008071971390852,2.1981430206704813,96.61373736375361,-94.9109413344836,1.750138823707706e-52,3004035.9856954264,1"
"17.91229140198042,7.602113679357537,1.483427464182636,92.91248575270058,-86.84027892221906,2.7071323936420566e-15,3801056.83966864,1"
"21.118528947223794,6.770432945283974,1.6553100598432857,99.51386218400478,-93.88440678446098,6.041589381880338e-33,3385216.4726419873,1"
"16.39493860652042,5.285200248386483,1.6396718465839342,94.36060612092305,-85.04519402078242,3.112123047405595e-06,2634388.7986196317,1"
"17.92144648535218,14.093041464060494,1.6529886553265032,94.29364820389176,-87.27041508088818,1.161358320258854e-12,7046520.723846388,1"
"18.663618432936918,5.082231313888915,2.3459283462236313,96.78079510190932,-89.19989982393486,3.9128345309830303e-13,2541115.6559502645,1"
"19.560699842170358,12.360821443370854,2.0616158561808327,97.6756856230619,-93.45393582258403,6.808265070193964e-32,6180410.721685427,1"
"22.851759613930135,6.521478869195166,1.7708483561732886,94.75558738125136,-89.84607028606753,2.0931854285902457e-56,3260739.434597583,1"
"16.996737821583597,14.122296219996,1.2981795374574332,92.14000901711724,-92.38891259142191,2.3431092549699324e-48,7061148.109998,1"
"20.142344384136116,13.927959395898858,1.0442783258842918,97.73308642725621,-92.4767747545693,6.256693823691381e-29,6963979.697949429,1"
"20.924145688620424,11.539011463692574,1.4376693551753852,93.20351274873627,-86.70470750617514,3.249804814835821e-26,5769505.731846287,1"
"15.464504127199977,11.722341498006053,1.2149428079373625,91.75110769293858,-91.19355576040566,4.6358001858026907e-29,5861170.749003027,1"
"21.075448519014383,5.053391419696886,2.5708900617044788,96.31640189925014,-90.49276196609196,2.674612062339065e-31,2526695.709848443,1"
"16.705241236872915,14.848715661136021,1.2249959156277708,90.90453666990351,-86.57035262219881,4.7991423380776914e-17,7424357.830568011,1"
"15.650515929852794,13.778326035758145,2.448456474613672,99.71352675086055,-94.12209374281157,9.592769269598454e-11,6889162.3570174705,1"
"24.488855372533333,13.95106225730092,1.7713173795521653,96.32397264412137,-89.0538214690895,4.528627215730515e-48,6975531.12865046,1"
"24.656320330745594,11.59244537050872,1.146756779487552,99.85895520921756,-89.21784318626962,5.016593834674515e-24,5796222.685254361,1"
"23.083973481164612,8.447869286545366,2.6254600988631713,93.38893423478636,-90.74785430733324,1.2375904889095392e-98,4223934.643272683,1"
"18.046137691733705,13.936486490904809,2.1592611404732267,99.71205161190397,-86.70225358575907,0.00017749176072015882,5834891.282648775,1"
"15.97672114006384,7.915169281511924,1.471523025727146,91.45562247728624,-85.57109938664307,8.184026810441524e-11,3957584.316866012,1"
"21.842330265121568,10.627115433422029,2.789362348665336,90.40694772347028,-90.34664138086389,1.9356870406060513e-133,5313557.7167110145,1"
"19.40152493739601,5.997309723438824,1.090516627741103,90.32984060454602,-90.43852949001601,5.343350804298987e-80,2998654.861719412,1"
"16.22038234844779,14.219556301327502,1.4036392163955258,94.64870370599228,-89.97936270329255,1.999155095449943e-14,7109778.15052167,1"
"19.951769101112703,6.407704577712133,2.504093855611722,90.83004197478594,-87.76875969166939,1.0106463024281404e-44,3203852.2888560668,1"
"15.343885211152184,7.248968057304072,2.418755860619778,95.12167884167602,-88.31939709301038,4.471205469083499e-08,3624321.974143095,1"
